"subjID","rt","win","trial_type","gain","loss","cert","gamble"
"819c4ba6a036130b","577.0","0.0","101","12.0","-6.0","0.0","1.0"
"819c4ba6a036130b","1292.0","1.0","102","16.0","0.0","3.0","0.0"
"819c4ba6a036130b","671.0","0.0","102","18.0","0.0","7.0","0.0"
"819c4ba6a036130b","587.0","1.0","102","20.0","0.0","5.0","1.0"
"819c4ba6a036130b","1284.0","1.0","101","16.0","-2.0","0.0","1.0"
"819c4ba6a036130b","1258.0","1.0","101","14.0","-4.0","0.0","1.0"
"819c4ba6a036130b","1110.0","1.0","101","12.0","-10.0","0.0","0.0"
"819c4ba6a036130b","1316.0","1.0","101","16.0","-3.0","0.0","1.0"
"819c4ba6a036130b","840.0","0.0","101","9.0","-2.0","0.0","1.0"
"819c4ba6a036130b","937.0","1.0","101","14.0","-8.0","0.0","0.0"
"819c4ba6a036130b","1022.0","0.0","101","9.0","-8.0","0.0","0.0"
"819c4ba6a036130b","1168.0","0.0","101","11.0","-8.0","0.0","0.0"
"819c4ba6a036130b","949.0","0.0","102","20.0","0.0","4.0","1.0"
"819c4ba6a036130b","1126.0","1.0","102","12.0","0.0","4.0","1.0"
"819c4ba6a036130b","745.0","1.0","102","20.0","0.0","3.0","1.0"
"819c4ba6a036130b","773.0","1.0","102","16.0","0.0","6.0","1.0"
"819c4ba6a036130b","1126.0","1.0","101","12.0","-5.0","0.0","1.0"
"819c4ba6a036130b","796.0","1.0","101","12.0","-2.0","0.0","1.0"
"819c4ba6a036130b","1324.0","0.0","101","8.0","-3.0","0.0","0.0"
"819c4ba6a036130b","1198.0","1.0","101","11.0","-6.0","0.0","1.0"
"819c4ba6a036130b","1013.0","0.0","101","12.0","-4.0","0.0","1.0"
"819c4ba6a036130b","961.0","1.0","101","14.0","-10.0","0.0","0.0"
"819c4ba6a036130b","1057.0","1.0","101","9.0","-3.0","0.0","0.0"
"819c4ba6a036130b","1076.0","0.0","102","18.0","0.0","5.0","1.0"
"819c4ba6a036130b","981.0","0.0","101","11.0","-5.0","0.0","0.0"
"819c4ba6a036130b","1067.0","0.0","102","12.0","0.0","6.0","1.0"
"819c4ba6a036130b","756.0","0.0","102","16.0","0.0","3.0","1.0"
"819c4ba6a036130b","672.0","0.0","102","20.0","0.0","6.0","0.0"
"819c4ba6a036130b","853.0","1.0","101","8.0","-5.0","0.0","0.0"
"819c4ba6a036130b","644.0","0.0","101","16.0","-6.0","0.0","1.0"
"819c4ba6a036130b","838.0","1.0","101","14.0","-2.0","0.0","1.0"
"819c4ba6a036130b","723.0","0.0","101","10.0","-6.0","0.0","1.0"
"819c4ba6a036130b","760.0","1.0","102","12.0","0.0","4.0","0.0"
"819c4ba6a036130b","1010.0","1.0","101","10.0","-10.0","0.0","0.0"
"819c4ba6a036130b","900.0","0.0","101","10.0","-2.0","0.0","1.0"
"819c4ba6a036130b","688.0","1.0","101","16.0","-6.0","0.0","1.0"
"819c4ba6a036130b","612.0","1.0","101","14.0","-3.0","0.0","1.0"
"819c4ba6a036130b","640.0","1.0","101","11.0","-8.0","0.0","1.0"
"819c4ba6a036130b","916.0","0.0","101","9.0","-4.0","0.0","0.0"
"819c4ba6a036130b","710.0","1.0","101","14.0","-5.0","0.0","1.0"
"819c4ba6a036130b","674.0","1.0","101","16.0","-3.0","0.0","1.0"
"819c4ba6a036130b","959.0","1.0","102","18.0","0.0","4.0","1.0"
"819c4ba6a036130b","766.0","1.0","102","16.0","0.0","7.0","0.0"
"819c4ba6a036130b","1009.0","0.0","101","10.0","-2.0","0.0","1.0"
"819c4ba6a036130b","757.0","0.0","101","9.0","-3.0","0.0","1.0"
"819c4ba6a036130b","525.0","1.0","102","12.0","0.0","5.0","0.0"
"819c4ba6a036130b","794.0","0.0","102","16.0","0.0","4.0","0.0"
"819c4ba6a036130b","1010.0","1.0","101","11.0","-4.0","0.0","1.0"
"819c4ba6a036130b","1016.0","0.0","101","10.0","-5.0","0.0","0.0"
"819c4ba6a036130b","765.0","1.0","102","18.0","0.0","6.0","1.0"
"819c4ba6a036130b","1125.0","0.0","102","20.0","0.0","7.0","0.0"
"819c4ba6a036130b","1148.0","1.0","101","9.0","-6.0","0.0","0.0"
"819c4ba6a036130b","787.0","1.0","101","14.0","-4.0","0.0","1.0"
"819c4ba6a036130b","980.0","0.0","101","14.0","-5.0","0.0","1.0"
"819c4ba6a036130b","1224.0","0.0","101","10.0","-3.0","0.0","1.0"
"819c4ba6a036130b","693.0","0.0","101","8.0","-3.0","0.0","1.0"
"819c4ba6a036130b","812.0","1.0","102","16.0","0.0","6.0","0.0"
"819c4ba6a036130b","927.0","0.0","101","8.0","-8.0","0.0","0.0"
"819c4ba6a036130b","1008.0","0.0","101","9.0","-8.0","0.0","0.0"
"819c4ba6a036130b","899.0","0.0","102","16.0","0.0","4.0","1.0"
"819c4ba6a036130b","535.0","0.0","102","14.0","0.0","4.0","1.0"
"819c4ba6a036130b","701.0","0.0","102","14.0","0.0","4.0","0.0"
"819c4ba6a036130b","1022.0","1.0","101","11.0","-4.0","0.0","0.0"
"819c4ba6a036130b","786.0","1.0","101","9.0","-6.0","0.0","0.0"
"819c4ba6a036130b","885.0","1.0","101","16.0","-10.0","0.0","0.0"
"819c4ba6a036130b","667.0","0.0","102","14.0","0.0","6.0","1.0"
"819c4ba6a036130b","881.0","0.0","101","11.0","-2.0","0.0","0.0"
"819c4ba6a036130b","840.0","0.0","101","8.0","-6.0","0.0","0.0"
"819c4ba6a036130b","835.0","1.0","101","14.0","-3.0","0.0","0.0"
"819c4ba6a036130b","818.0","0.0","102","18.0","0.0","5.0","0.0"
"819c4ba6a036130b","845.0","1.0","101","9.0","-5.0","0.0","0.0"
"819c4ba6a036130b","978.0","1.0","101","11.0","-10.0","0.0","0.0"
"819c4ba6a036130b","922.0","0.0","102","14.0","0.0","7.0","1.0"
"819c4ba6a036130b","1094.0","0.0","102","18.0","0.0","7.0","0.0"
"819c4ba6a036130b","1145.0","0.0","101","16.0","-2.0","0.0","1.0"
"819c4ba6a036130b","1176.0","1.0","101","16.0","-8.0","0.0","0.0"
"819c4ba6a036130b","1084.0","1.0","101","8.0","-10.0","0.0","0.0"
