"subjID","rt","win","trial_type","gain","loss","cert","gamble"
"ff1d7a9a28686c2b","1530.0","0.0","102","14.0","0.0","5.0","1.0"
"ff1d7a9a28686c2b","1876.0","1.0","101","12.0","-8.0","0.0","0.0"
"ff1d7a9a28686c2b","1463.0","0.0","102","18.0","0.0","4.0","1.0"
"ff1d7a9a28686c2b","1794.0","0.0","102","18.0","0.0","5.0","1.0"
"ff1d7a9a28686c2b","1187.0","0.0","102","18.0","0.0","4.0","1.0"
"ff1d7a9a28686c2b","1495.0","0.0","101","18.0","-4.0","0.0","1.0"
"ff1d7a9a28686c2b","1176.0","1.0","102","16.0","0.0","3.0","1.0"
"ff1d7a9a28686c2b","1364.0","1.0","102","12.0","0.0","5.0","0.0"
"ff1d7a9a28686c2b","1536.0","0.0","101","10.0","-8.0","0.0","0.0"
"ff1d7a9a28686c2b","1496.0","0.0","101","18.0","-5.0","0.0","0.0"
"ff1d7a9a28686c2b","1381.0","0.0","102","14.0","0.0","7.0","0.0"
"ff1d7a9a28686c2b","1354.0","1.0","101","18.0","-6.0","0.0","0.0"
"ff1d7a9a28686c2b","992.0","1.0","101","16.0","-4.0","0.0","1.0"
"ff1d7a9a28686c2b","2164.0","0.0","101","10.0","-6.0","0.0","0.0"
"ff1d7a9a28686c2b","1021.0","1.0","102","14.0","0.0","4.0","1.0"
"ff1d7a9a28686c2b","1302.0","1.0","102","20.0","0.0","5.0","1.0"
"ff1d7a9a28686c2b","1910.0","1.0","101","13.0","-4.0","0.0","1.0"
"ff1d7a9a28686c2b","1461.0","1.0","101","18.0","-4.0","0.0","1.0"
"ff1d7a9a28686c2b","1083.0","0.0","101","11.0","-10.0","0.0","0.0"
"ff1d7a9a28686c2b","1580.0","1.0","101","13.0","-6.0","0.0","0.0"
"ff1d7a9a28686c2b","1134.0","1.0","101","10.0","-10.0","0.0","0.0"
"ff1d7a9a28686c2b","1835.0","0.0","101","14.0","-6.0","0.0","0.0"
"ff1d7a9a28686c2b","1038.0","0.0","101","16.0","-2.0","0.0","1.0"
"ff1d7a9a28686c2b","943.0","0.0","101","10.0","-3.0","0.0","0.0"
"ff1d7a9a28686c2b","1091.0","1.0","101","12.0","-6.0","0.0","0.0"
"ff1d7a9a28686c2b","1070.0","0.0","102","14.0","0.0","6.0","0.0"
"ff1d7a9a28686c2b","1545.0","1.0","101","16.0","-6.0","0.0","0.0"
"ff1d7a9a28686c2b","1638.0","1.0","102","16.0","0.0","6.0","0.0"
"ff1d7a9a28686c2b","1230.0","1.0","101","13.0","-5.0","0.0","0.0"
"ff1d7a9a28686c2b","942.0","0.0","102","20.0","0.0","6.0","1.0"
"ff1d7a9a28686c2b","1719.0","1.0","101","13.0","-2.0","0.0","1.0"
"ff1d7a9a28686c2b","1089.0","1.0","101","18.0","-8.0","0.0","0.0"
"ff1d7a9a28686c2b","1271.0","0.0","101","14.0","-2.0","0.0","1.0"
"bd2adbff911d558e","1577.0","1.0","102","10.0","0.0","3.0","1.0"
"bd2adbff911d558e","1027.0","1.0","102","12.0","0.0","7.0","1.0"
"bd2adbff911d558e","1464.0","1.0","101","17.0","-10.0","0.0","0.0"
"bd2adbff911d558e","938.0","0.0","101","11.0","-4.0","0.0","1.0"
"bd2adbff911d558e","1199.0","1.0","101","9.0","-4.0","0.0","1.0"
"bd2adbff911d558e","879.0","1.0","102","18.0","0.0","4.0","1.0"
